"SHOW","THIS.WEEK.GROSS...POTENTIAL.GROSS","DIFF..","AVG.TICKET...TOP.TICKET","SEATS.SOLD...SEATS.IN.THEATRE","PERFS.PREVIEWS","X..CAP","DIFF...CAP","WEEK.DATE"
"Harry Potter and the Cursed Child",1113051.85,-32355.1,92.9,11981,8,92.33,0.86,"2024-02-04"
"How to Dance in Ohio",628710.05,124975.05,84.4,7449,8,94.15,11.44,"2024-02-04"
"Kimberly Akimbo",498928.9,-25494.4,92.62,5387,8,87.11,-5.95,"2024-02-04"
"The Lion King",1666828,-34481,131.46,12679,8,93.45,-1.92,"2024-02-04"
"Merrily We Roll Along",1517469,-81413,196.36,7728,8,100,0,"2024-02-04"
"MJ The Musical",1317468.5,-32151.5,125.65,10485,8,94.49,2.51,"2024-02-04"
"Moulin Rouge! The Musical",1119592.64,-503.99,110.06,10173,8,97.82,1.15,"2024-02-04"
"Prayer For The French Republic",494282,-9767,100.38,4924,8,96.62,0.47,"2024-02-04"
"Purlie Victorious",706881.98,58090.28,109.05,6482,8,80.94,-3.98,"2024-02-04"
"SIX: The Musical",835397.8,-43847.2,103.93,8038,8,97.45,-1.58,"2024-02-04"
"Spamalot",740888.15,-87465.15,82.49,8982,8,75.35,3.07,"2024-02-04"
"Sweeney Todd",857422.4,81341.2,86.34,9931,7,94.71,4.42,"2024-02-04"
"Wicked",1602195,-32138.5,108.29,14796,8,99.09,1.66,"2024-02-04"
"& Juliet",1058739,83984.7,131.62,8044,8,98,5.29,"2024-01-28"
"Aladdin",1120149.7,69042.3,86.97,12879,8,93.22,3.8,"2024-01-28"
"Appropriate",787289.85,86149.5,172.12,4574,8,98.41,3.29,"2024-01-28"
"Back To The Future",1036005.34,61461.34,96.53,10732,8,90.76,5.36,"2024-01-28"
"A Beautiful Noise The Neil Diamond Musical",798503.3,104081.65,122.11,6539,8,70.89,15.2,"2024-01-28"
"The Book of Mormon",921590.1,6486.2,111.46,8268,8,96.95,1.12,"2024-01-28"
"Chicago",668147.55,65841.4,90.28,7401,8,85.66,10.3,"2024-01-28"
"Days Of Wine And Roses",382041.5,-35470.5,59.78,6391,1,80.86,15.25,"2024-01-28"
"Gutenberg! The Musical!",1462226.84,298872.74,168.87,8659,8,101.73,3.48,"2024-01-28"
"Hadestown",733839.95,38544.2,102.26,7176,8,97.71,1.99,"2024-01-28"
"Hamilton",1725789.5,-36772.75,163.37,10564,8,99.74,1.68,"2024-01-28"
"Harmony",707076.71,166716.94,87.49,8082,8,98.27,18.48,"2024-01-28"
"Harry Potter and the Cursed Child",1145406.95,70679.05,96.5,11869,8,91.47,5.59,"2024-01-28"
"How to Dance in Ohio",503735,120692.95,76.98,6544,8,82.71,19.29,"2024-01-28"
"Kimberly Akimbo",524423.3,36562.9,91.12,5755,8,93.06,10.59,"2024-01-28"
"The Lion King",1701309,-111965,131.48,12940,8,95.37,0.27,"2024-01-28"
