"SHOW","THIS.WEEK.GROSS...POTENTIAL.GROSS","DIFF..","AVG.TICKET...TOP.TICKET","SEATS.SOLD...SEATS.IN.THEATRE","PERFS.PREVIEWS","X..CAP","DIFF...CAP","WEEK.DATE"
"Dear Evan Hansen",1266197.37,322771,140.74,8997,9,101.59,0.04,"2017-01-01"
"The Encounter",334415.5,160703.78,61.25,5460,9,80.35,17.04,"2017-01-01"
"Falsettos",712168.8,165730.4,99.41,7164,8,96.08,12.8,"2017-01-01"
"Fiddler on the Roof",1848029.9,978918.55,122.38,15101,9,98.29,16.03,"2017-01-01"
"The Front Page",1291255.48,448592.5,125.18,10315,9,97.29,12.32,"2017-01-01"
"Hamilton",3335429.5,31892,310.13,10755,8,101.77,0,"2017-01-01"
"Holiday Inn The New Irving Berlin Musical",765647.5,144252.5,98.55,7769,8,97.31,15.26,"2017-01-01"
"The Humans",814554.9,392196.06,97.99,8313,9,89.24,19.05,"2017-01-01"
"The Illusionists — Turn of the Century",2397105.9,1569681.4,98.63,24305,17,84.55,16.62,"2017-01-01"
"In Transit",477430.73,243047.23,91.62,5211,9,87.99,13.98,"2017-01-01"
"Jersey Boys",1778189,767475.5,162.38,10951,9,99.09,13.98,"2017-01-01"
"Jitney",141046.6,0,56.74,2486,0,95.62,0,"2017-01-01"
"Kinky Boots",1422339,712757.65,110.94,12821,9,100.04,28.45,"2017-01-01"
"Les Liaisons Dangereuses",395622.08,207807.14,85.87,4607,9,66.48,17.41,"2017-01-01"
"The Lion King",3098330,969471,202.96,15266,9,100.01,1.6,"2017-01-01"
"Matilda The Musical",1902189.44,878785.89,146.77,12960,9,100.56,2.51,"2017-01-01"
"Natasha Pierre & The Great Comet of 1812",1371949.99,174837.91,156.87,8746,8,96.07,-1.96,"2017-01-01"
"Oh Hello on Broadway",911601.7,368445.7,111.89,8147,9,99.37,11.33,"2017-01-01"
"On Your Feet!",1304174.8,850196.3,99.27,13137,9,89.77,46.84,"2017-01-01"
"The Phantom of the Opera",1942351.41,864633.25,133.69,14529,9,100.58,4.62,"2017-01-01"
"The Present",969495,25511.45,131.6,7367,0,99.95,3.23,"2017-01-01"
"School of Rock – The Musical",2022136.11,881930.51,147.64,13696,9,99.92,5.41,"2017-01-01"
"Something Rotten!",1478302.2,815493.7,101.72,14533,9,96.87,28.47,"2017-01-01"
"Waitress",1331954.3,565873.7,142.23,9365,9,99.57,14.35,"2017-01-01"
"Wicked",3162603,917008,182.83,17298,9,99.79,1.69,"2017-01-01"
"Aladdin",1620713.5,-21959.5,136.46,11877,7,98.25,0.7,"2016-12-25"
"Beautiful: The Carole King Musical",627642.5,-265023.6,116.23,5400,7,75.19,-14.42,"2016-12-25"
"The Book of Mormon",1346744,-115112,176.53,7629,7,102.24,0.32,"2016-12-25"
"A Bronx Tale The Musical",739974,-165809,121.69,6081,7,83.21,-12.06,"2016-12-25"
"Cats",961037.5,9781,110.34,8710,7,90.49,6.17,"2016-12-25"
"Chicago",539372.35,-78919.5,94.64,5699,7,75.38,-8.08,"2016-12-25"
"Cirque du Soleil Paramour",1100772,61563.1,103.7,10615,8,69.98,-4.06,"2016-12-25"
"The Color Purple",601995.01,-86506.69,97.69,6162,7,83.76,-0.39,"2016-12-25"
"Dear Evan Hansen",943426.37,-107821.63,134.87,6995,7,101.55,0.04,"2016-12-25"
"The Encounter",173711.72,-21854.28,51.92,3346,7,63.31,2.56,"2016-12-25"
"Falsettos",546438.4,-64077.1,88.01,6209,8,83.28,-7.64,"2016-12-25"
"Fiddler on the Roof",869111.35,21556.65,88.42,9829,7,82.26,14.71,"2016-12-25"
"The Front Page",842662.98,-367668.52,120.26,7007,7,84.97,-11.49,"2016-12-25"
"Hamilton",3303537.5,1063050,307.16,10755,8,101.77,0.16,"2016-12-25"
"Holiday Inn The New Irving Berlin Musical",621395,-111989.5,94.85,6551,8,82.05,-15.73,"2016-12-25"
"The Humans",422358.84,-38729.16,83.06,5085,7,70.19,0.23,"2016-12-25"
"The Illusionists — Turn of the Century",827424.5,125457.5,80.04,10338,9,67.93,-0.36,"2016-12-25"
"In Transit",234383.5,-6381,68.75,3409,7,74.01,-5,"2016-12-25"
"Jersey Boys",1010713.5,-226028,138.15,7316,7,85.11,-10.74,"2016-12-25"
"Kinky Boots",709581.35,-108703.95,99.44,7136,7,71.59,-0.16,"2016-12-25"
"Les Liaisons Dangereuses",187814.94,-171502,71.01,2645,7,49.07,-13.35,"2016-12-25"
"The Lion King",2128859,-62217,182.22,11683,7,98.41,1.28,"2016-12-25"
"Matilda The Musical",1023403.55,-85067.72,104.12,9829,7,98.05,1.53,"2016-12-25"
"Natasha Pierre & The Great Comet of 1812",1197112.08,75583.65,134.13,8925,8,98.03,1,"2016-12-25"
"Oh Hello on Broadway",543156,-63685.45,96.75,5614,7,88.04,-6.02,"2016-12-25"
"On Your Feet!",453978.5,-293862.5,92.91,4886,7,42.93,-16.4,"2016-12-25"
"The Phantom of the Opera",1077718.16,149719.75,99.96,10781,7,95.96,20.43,"2016-12-25"
"The Present",943983.55,792297.55,132.41,7129,0,96.72,-3.09,"2016-12-25"
"School of Rock – The Musical",1140205.6,30404,113.16,10076,7,94.51,4.54,"2016-12-25"
"Something Rotten!",662808.5,-54963.1,90.63,7313,7,68.4,-4.44,"2016-12-25"
"Waitress",766080.6,-93063.3,122.89,6234,7,85.22,-2.46,"2016-12-25"
"Wicked",2245595,153325,153.29,14649,8,98.1,-1.77,"2016-12-25"
"Aladdin",1642673,30539.5,121.89,13477,8,97.55,-0.46,"2016-12-18"
"Beautiful: The Carole King Musical",892666.1,-169006.5,121.37,7355,8,89.61,-9.34,"2016-12-18"
"The Book of Mormon",1461856,29529,168.18,8692,8,101.92,-0.01,"2016-12-18"
"A Bronx Tale The Musical",905783,-7265,113.83,7957,8,95.27,-1.17,"2016-12-18"
"Cats",951256.5,-23942.5,102.56,9275,8,84.32,-1.87,"2016-12-18"
"Chicago",618291.85,8180.05,85.74,7211,8,83.46,0.81,"2016-12-18"
"Cirque du Soleil Paramour",1039208.9,9742.75,92.54,11230,8,74.04,0.85,"2016-12-18"
"The Color Purple",688501.7,15753.7,97.31,7075,8,84.15,-2.09,"2016-12-18"
"Dear Evan Hansen",1051248,76265.37,131.55,7991,8,101.51,0.01,"2016-12-18"
"The Encounter",195566,-15165.5,53.3,3669,8,60.75,0.22,"2016-12-18"
"Falsettos",610515.5,-12631.6,90.06,6779,8,90.92,-2.67,"2016-12-18"
"Fiddler on the Roof",847554.7,-39281.22,91.88,9225,8,67.55,-5.55,"2016-12-18"
"The Front Page",1210331.5,-82749.51,133.15,9090,8,96.46,-3.01,"2016-12-18"
"Hamilton",2240487.5,-202950.5,208.65,10738,8,101.61,-0.14,"2016-12-18"
"Holiday Inn The New Irving Berlin Musical",733384.5,-50159.05,93.94,7807,8,97.78,0.62,"2016-12-18"
"The Humans",461088,-108356.5,79.59,5793,8,69.96,-4.65,"2016-12-18"
"The Illusionists — Turn of the Century",701967,82172,75.99,9238,8,68.29,8.61,"2016-12-18"
"In Transit",240764.5,15647.35,57.89,4159,8,79.01,-16.13,"2016-12-18"
"Jersey Boys",1236741.5,22424,131.34,9416,8,95.85,0.13,"2016-12-18"
"Kinky Boots",818285.3,-103917.7,100.11,8174,8,71.75,-8.1,"2016-12-18"
"Les Liaisons Dangereuses",359316.94,-111961.56,93.45,3845,8,62.42,-13.47,"2016-12-18"
"The Lion King",2191076,71204,166.27,13178,8,97.13,-1.5,"2016-12-18"
"Matilda The Musical",1108471.27,130440.34,100.25,11057,8,96.52,3.03,"2016-12-18"
"Natasha Pierre & The Great Comet of 1812",1121528.43,-87492.74,126.96,8834,8,97.03,-1.76,"2016-12-18"
"Oh Hello on Broadway",606841.45,32822.55,88.53,6855,8,94.06,4.2,"2016-12-18"
"On Your Feet!",747841,-188219.9,96.9,7718,8,59.33,-11.28,"2016-12-18"
"The Phantom of the Opera",927998.41,-20990.39,95.69,9698,8,75.53,-3.25,"2016-12-18"
"The Present",151686,0,144.33,1051,0,99.81,0,"2016-12-18"
"School of Rock – The Musical",1109801.6,63981.99,101.24,10962,8,89.97,3.53,"2016-12-18"
"Something Rotten!",717771.6,31001.6,79.73,9002,8,72.84,5.85,"2016-12-18"
"Waitress",859143.9,-114583.8,117.21,7330,8,87.68,-5.13,"2016-12-18"
"Wicked",2092270,182896,140.31,14912,8,99.87,1.88,"2016-12-18"
"Aladdin",1612133.5,109510.5,119.06,13541,8,98.01,3.06,"2016-12-11"
"Beautiful: The Carole King Musical",1061672.6,59230.9,130.72,8122,8,98.95,2.15,"2016-12-11"
"The Book of Mormon",1432327,46979,164.77,8693,8,101.93,0.04,"2016-12-11"
"A Bronx Tale The Musical",913048,189373,113.35,8055,8,96.44,1.88,"2016-12-11"
"Cats",975199,135676.5,102.86,9481,8,86.19,10.26,"2016-12-11"
"Chicago",610111.8,34611.65,85.44,7141,8,82.65,5.05,"2016-12-11"
"Cirque du Soleil Paramour",1029466.15,102061.65,92.73,11102,8,73.19,4.91,"2016-12-11"
"The Color Purple",672748,79821.77,92.78,7251,8,86.24,8.52,"2016-12-11"
"Dear Evan Hansen",974982.63,217024.53,122.03,7990,8,101.5,2.64,"2016-12-11"
"The Encounter",210731.5,27488.5,57.64,3656,8,60.53,2.07,"2016-12-11"
"Falsettos",623147.1,10910.4,89.3,6978,8,93.59,5.71,"2016-12-11"
"Fiddler on the Roof",886835.92,107530.07,88.83,9983,8,73.1,7.2,"2016-12-11"
"The Front Page",1293081.01,53103.54,137.94,9374,8,99.47,3.29,"2016-12-11"
"Hamilton",2443438,210179,227.23,10753,8,101.75,0.2,"2016-12-11"
"Heisenberg",431180,7393,82.13,5250,8,90.21,7.75,"2016-12-11"
"Holiday Inn The New Irving Berlin Musical",783543.55,171007.65,101.01,7757,8,97.16,7.39,"2016-12-11"
"The Humans",569444.5,60759,92.17,6178,8,74.61,2.92,"2016-12-11"
"The Illusionists — Turn of the Century",619795,21897,76.77,8073,8,59.68,-8.83,"2016-12-11"
"In Transit",225117.15,-42608.65,44.95,5008,1,95.14,11.23,"2016-12-11"
"Jersey Boys",1214317.5,129234.5,129.13,9404,8,95.72,4.89,"2016-12-11"
"Kinky Boots",922203,34554.7,101.37,9097,8,79.85,-4.22,"2016-12-11"
"Les Liaisons Dangereuses",471278.5,6172.1,100.81,4675,8,75.89,-0.2,"2016-12-11"
"The Lion King",2119872,220167,158.41,13382,8,98.63,7.23,"2016-12-11"
"Matilda The Musical",978030.93,67327.13,91.32,10710,8,93.49,2.71,"2016-12-11"
"Natasha Pierre & The Great Comet of 1812",1209021.17,34632.24,134.43,8994,8,98.79,2.49,"2016-12-11"
"Oh Hello on Broadway",574018.9,34494.05,87.65,6549,8,89.86,0.67,"2016-12-11"
"On Your Feet!",936060.9,80243.9,101.91,9185,8,70.61,5.4,"2016-12-11"
"The Phantom of the Opera",948988.8,150928,93.82,10115,8,78.78,11.42,"2016-12-11"
"School of Rock – The Musical",1045819.61,53218.84,99.3,10532,8,86.44,5.05,"2016-12-11"
"Something Rotten!",686770,30081.5,82.95,8279,8,66.99,-4.59,"2016-12-11"
"Waitress",973727.7,89431.7,125.5,7759,8,92.81,9.17,"2016-12-11"
"Wicked",1909374,173328,130.49,14632,8,97.99,7.15,"2016-12-11"
"Aladdin",1502623,-544441.5,114.55,13118,8,94.95,-3.86,"2016-12-04"
"Beautiful: The Carole King Musical",1002441.7,120832.6,126.17,7945,8,96.8,8.64,"2016-12-04"
"The Book of Mormon",1385348,-148592,159.44,8689,8,101.89,-0.14,"2016-12-04"
"A Bronx Tale The Musical",723675,5815,91.63,7898,4,94.56,3.69,"2016-12-04"
"Cats",839522.5,-364291.5,100.52,8352,8,75.93,-16.17,"2016-12-04"
"The Cherry Orchard",384179.1,99745,76.54,5019,8,85.94,4.83,"2016-12-04"
"Chicago",575500.15,-148353.5,85.83,6705,8,77.6,-15.07,"2016-12-04"
"Cirque du Soleil Paramour",927404.5,-151130.5,89.55,10356,8,68.28,-0.36,"2016-12-04"
"The Color Purple",592926.23,-6611.88,90.73,6535,8,77.72,4.74,"2016-12-04"
"Dear Evan Hansen",757958.1,-125719.3,97.4,7782,1,98.86,-0.94,"2016-12-04"
"The Encounter",183243,-75824.5,51.9,3531,8,58.46,-6.54,"2016-12-04"
"Falsettos",612236.7,-36364.5,93.44,6552,8,87.88,1.21,"2016-12-04"
"Fiddler on the Roof",779305.85,-277167.89,86.6,8999,8,65.9,-12.21,"2016-12-04"
"The Front Page",1239977.47,-66295.03,136.8,9064,8,96.18,-2.24,"2016-12-04"
"Hamilton",2233259,-1026829.75,208.09,10732,8,101.55,-0.19,"2016-12-04"
"Heisenberg",423787,111326,88.31,4799,8,82.46,-1.06,"2016-12-04"
"Holiday Inn The New Irving Berlin Musical",612535.9,-50441.6,85.47,7167,8,89.77,2.31,"2016-12-04"
"The Humans",508685.5,-96445,85.69,5936,8,71.69,-1.93,"2016-12-04"
"The Illusionists — Turn of the Century",597898,-104921,64.51,9268,8,68.51,4.13,"2016-12-04"
"In Transit",267725.8,10688.35,60.61,4417,0,83.91,10.6,"2016-12-04"
"Jersey Boys",1085083,102228.5,121.61,8923,8,90.83,8.91,"2016-12-04"
"Kinky Boots",887648.3,15246.8,92.69,9577,8,84.07,6.5,"2016-12-04"
"Les Liaisons Dangereuses",465106.4,36523.3,99.23,4687,8,76.09,-5.78,"2016-12-04"
"The Lion King",1899705,-596627,153.19,12401,8,91.4,-8.12,"2016-12-04"
"Matilda The Musical",910703.8,-352558,87.57,10400,8,90.78,-7.63,"2016-12-04"
"Natasha Pierre & The Great Comet of 1812",1174388.93,-107995.07,133.96,8767,8,96.3,-2.28,"2016-12-04"
"Oh Hello on Broadway",539524.85,-79287.61,83,6500,8,89.19,3.08,"2016-12-04"
"On Your Feet!",855817,93897,100.9,8482,8,65.21,4.37,"2016-12-04"
"The Phantom of the Opera",798060.8,-457938.9,92.27,8649,8,67.36,-24.51,"2016-12-04"
"School of Rock – The Musical",992600.77,-597431.33,100.09,9917,8,81.39,-12.5,"2016-12-04"
"Something Rotten!",656688.5,-208997.3,80.61,8146,8,71.58,-0.56,"2016-12-04"
"Waitress",884296,-84819.6,126.47,6992,8,83.64,-3.78,"2016-12-04"
"Wicked",1736046,-550930,132.2,13132,8,90.84,-7.62,"2016-12-04"
"Aladdin",2047064.5,690546.5,149.96,13651,8,98.81,2.28,"2016-11-27"
"Alton Brown Live: Eat Your Science",580737.7,0,102.77,5651,8,68.85,0,"2016-11-27"
"Beautiful: The Carole King Musical",881609.1,-38131.1,121.84,7236,8,88.16,-6.26,"2016-11-27"
"The Book of Mormon",1533940,207581.47,176.29,8701,8,102.03,-0.35,"2016-11-27"
"A Bronx Tale The Musical",717860,66592,108.1,6641,0,90.87,-1.56,"2016-11-27"
"Cats",1203814,386887.5,118.82,10131,8,92.1,10.45,"2016-11-27"
"The Cherry Orchard",284434.1,-24847,60.05,4737,8,81.11,3.27,"2016-11-27"
"Chicago",723853.65,228955.4,90.4,8007,8,92.67,20.79,"2016-11-27"
"Cirque du Soleil Paramour",1078535,194571.8,103.59,10412,8,68.64,-0.76,"2016-11-27"
"The Color Purple",599538.11,203391.58,97.71,6136,8,72.98,10.36,"2016-11-27"
"Dear Evan Hansen",883677.4,79386.2,128.55,6874,0,99.8,1.72,"2016-11-27"
"The Encounter",259067.5,19483.5,65.99,3926,8,65,9.52,"2016-11-27"
"Falsettos",648601.2,16011.4,100.37,6462,8,86.67,-4.26,"2016-11-27"
"Fiddler on the Roof",1056473.74,354404.66,99.04,10667,8,78.11,17.5,"2016-11-27"
"The Front Page",1306272.5,56478.9,140.84,9275,8,98.42,2.01,"2016-11-27"
"Hamilton",3260088.75,805432.75,303.21,10752,8,101.74,0,"2016-11-27"
"Heisenberg",312461,-113706,84.91,3680,6,83.52,-1.07,"2016-11-27"
"Holiday Inn The New Irving Berlin Musical",662977.5,124706.5,94.94,6983,8,87.46,8.24,"2016-11-27"
"The Humans",605130.5,64717,99.27,6096,8,73.62,-0.69,"2016-11-27"
"The Illusionists — Turn of the Century",702819,0,92.22,7621,7,64.38,0,"2016-11-27"
"In Transit",257037.45,18815.6,66.61,3859,0,73.31,-9.71,"2016-11-27"
"Jersey Boys",982854.5,87826,122.12,8048,8,81.92,-5.99,"2016-11-27"
"Kinky Boots",872401.5,169370,98.72,8837,8,77.57,11.42,"2016-11-27"
"Les Liaisons Dangereuses",428583.1,-251024.8,84.99,5043,8,81.87,-4.62,"2016-11-27"
"The Lion King",2496332,684128,184.87,13503,8,99.52,1.27,"2016-11-27"
"Matilda The Musical",1263261.8,393137.87,112.05,11274,8,98.41,10.46,"2016-11-27"
"Natasha Pierre & The Great Comet of 1812",1282384,394054.6,142.88,8975,8,98.58,8.85,"2016-11-27"
"Oh Hello on Broadway",618812.46,114989.56,98.6,6276,8,86.11,4.19,"2016-11-27"
"On Your Feet!",761920,-56095.3,96.27,7914,8,60.84,-5.71,"2016-11-27"
"The Phantom of the Opera",1255999.7,524725.37,106.48,11796,8,91.87,23.19,"2016-11-27"
"School of Rock – The Musical",1590032.1,631751.2,125.86,12633,9,93.89,11.38,"2016-11-27"
"Something Rotten!",865685.8,269192,89.99,9620,8,72.14,3.73,"2016-11-27"
"Waitress",969115.6,125093.2,132.61,7308,8,87.42,-2.38,"2016-11-27"
"Wicked",2286976,805914,160.67,14234,8,98.46,11.38,"2016-11-27"
"Aladdin",1356518,-69099.5,101.72,13336,8,96.53,-1.47,"2016-11-20"
"Beautiful: The Carole King Musical",919740.2,-44500,118.68,7750,8,94.42,-2.19,"2016-11-20"
"The Book of Mormon",1326358.53,-11102.47,151.91,8731,8,102.38,0.06,"2016-11-20"
"A Bronx Tale The Musical",651268,-27657.5,96.41,6755,0,92.43,-0.21,"2016-11-20"
"Cats",816926.5,-47357,90.96,8981,8,81.65,1.3,"2016-11-20"
"The Cherry Orchard",309281.1,-17529,68.03,4546,8,77.84,-4.45,"2016-11-20"
"Chicago",494898.25,-62069.9,79.69,6210,8,71.88,-6.14,"2016-11-20"
"Cirque du Soleil Paramour",883963.2,-33455.05,83.97,10527,8,69.4,-5.61,"2016-11-20"
"The Color Purple",396146.53,-299522.3,75.24,5265,8,62.62,-24.27,"2016-11-20"
"Dear Evan Hansen",804291.2,0,119.05,6756,0,98.08,0,"2016-11-20"
"The Encounter",239584,-6944.68,71.5,3351,8,55.48,-4.57,"2016-11-20"
"Falsettos",632589.8,20205.5,93.3,6780,8,90.93,0.1,"2016-11-20"
"Fiddler on the Roof",702069.08,-58670.02,84.82,8277,8,60.61,-3.76,"2016-11-20"
"The Front Page",1249793.6,-3908.92,137.55,9086,8,96.41,-3.98,"2016-11-20"
"Hamilton",2454656,1910.5,228.3,10752,8,101.74,-0.04,"2016-11-20"
"Heisenberg",426167,21161.4,86.57,4923,8,84.59,-3.1,"2016-11-20"
"Holiday Inn The New Irving Berlin Musical",538271,-25333.5,85.1,6325,8,79.22,-1.54,"2016-11-20"
"The Humans",540413.5,-60903.7,87.83,6153,8,74.31,-9.57,"2016-11-20"
"In Transit",238221.85,57328.7,54.51,4370,0,83.02,-12.85,"2016-11-20"
"Jersey Boys",895028.5,-18348.5,103.64,8636,8,87.91,-2.48,"2016-11-20"
"Kinky Boots",703031.5,-185099.25,93.29,7536,8,66.15,-17.67,"2016-11-20"
"Les Liaisons Dangereuses",679607.9,18027.4,127.55,5328,8,86.49,2.93,"2016-11-20"
"The Lion King",1812204,-26612,135.94,13331,8,98.25,-1.5,"2016-11-20"
"Matilda The Musical",870123.93,-85051.12,86.36,10076,8,87.95,-7.45,"2016-11-20"
"Natasha Pierre & The Great Comet of 1812",888329.4,-149813.12,108.74,8169,8,89.73,-7.28,"2016-11-20"
"Oh Hello on Broadway",503822.9,-37041.75,84.39,5970,8,81.92,-3.89,"2016-11-20"
"On Your Feet!",818015.3,-58620.6,94.49,8657,8,66.55,-5.07,"2016-11-20"
"The Phantom of the Opera",731274.33,-174930.47,82.92,8819,8,68.68,-10.84,"2016-11-20"
"School of Rock – The Musical",958280.9,-103694.1,97.11,9868,8,82.51,-6.83,"2016-11-20"
"Something Rotten!",596493.8,-78109.7,78.88,7562,8,68.41,-6.42,"2016-11-20"
"Waitress",844022.4,-80673.3,112.43,7507,8,89.8,-0.36,"2016-11-20"
"Wicked",1481062,-271355,117.66,12588,8,87.08,-12.72,"2016-11-20"
"Aladdin",1425617.5,135594,105.3,13539,8,98,3.81,"2016-11-13"
"Beautiful: The Carole King Musical",964240.2,111984,121.59,7930,8,96.61,4.81,"2016-11-13"
"The Book of Mormon",1337461,45187,153.27,8726,8,102.32,0.35,"2016-11-13"
"A Bronx Tale The Musical",678925.5,354104.5,100.28,6770,0,92.64,-2.86,"2016-11-13"
"Cats",864283.5,146410,97.79,8838,8,80.35,13.28,"2016-11-13"
"The Cherry Orchard",326810.1,17088.1,68,4806,8,82.29,9.24,"2016-11-13"
"Chicago",556968.15,70191.71,82.62,6741,8,78.02,8.69,"2016-11-13"
"Cirque du Soleil Paramour",917418.25,32544.3,80.63,11378,8,75.01,2.61,"2016-11-13"
"The Color Purple",695668.83,166873.33,95.22,7306,8,86.89,13.6,"2016-11-13"
"The Encounter",246528.68,-17.82,67.97,3627,8,60.05,-1.39,"2016-11-13"
"Falsettos",612384.3,12178.6,90.43,6772,8,90.83,0.38,"2016-11-13"
"Fiddler on the Roof",760739.1,155740.13,86.54,8791,8,64.37,11.28,"2016-11-13"
"The Front Page",1253702.52,-28797.48,132.51,9461,8,100.39,-1.14,"2016-11-13"
"Hamilton",2452745.5,225199.25,228.04,10756,8,101.78,0.23,"2016-11-13"
"Heisenberg",405005.6,-14728.2,81.65,4960,8,87.69,2.15,"2016-11-13"
"Holiday Inn The New Irving Berlin Musical",563604.5,118447.3,87.41,6448,8,80.76,11.31,"2016-11-13"
"The Humans",601317.2,41751.2,86.58,6945,8,83.88,4.01,"2016-11-13"
"In Transit",180893.15,0,57.35,3154,0,95.87,0,"2016-11-13"
"Jersey Boys",913377,128543.5,102.86,8880,8,90.39,10.49,"2016-11-13"
"Kinky Boots",888130.75,152953.75,93.01,9549,8,83.82,14.34,"2016-11-13"
"Kristin Chenoweth: My Love Letter to Broadway",1003264.5,151570.5,120.15,8350,6,92.53,4.29,"2016-11-13"
"Les Liaisons Dangereuses",661580.5,3589.6,128.54,5147,8,83.56,-3.91,"2016-11-13"
"The Lion King",1838816,3855,135.87,13534,8,99.75,2.64,"2016-11-13"
"Matilda The Musical",955175.05,194623.65,87.4,10929,8,95.4,9.51,"2016-11-13"
"Natasha Pierre & The Great Comet of 1812",1038142.52,13036.86,117.54,8832,0,97.01,2.13,"2016-11-13"
"Oh Hello on Broadway",540864.65,55673.35,86.48,6254,8,85.81,6.89,"2016-11-13"
"On Your Feet!",876635.9,161883,94.1,9316,8,71.62,13.49,"2016-11-13"
"The Phantom of the Opera",906204.8,129846.69,88.76,10210,8,79.52,11.12,"2016-11-13"
"School of Rock – The Musical",1061975,187368.5,99.39,10685,8,89.34,7.47,"2016-11-13"
"Something Rotten!",674603.5,125950.5,77.01,8760,8,74.83,19.67,"2016-11-13"
"Waitress",924695.7,105128.4,122.69,7537,8,90.16,7.65,"2016-11-13"
"Wicked",1752417,316582,121.47,14427,8,99.8,13.35,"2016-11-13"
"Aladdin",1290023.5,4023.5,99.13,13013,8,94.19,-0.83,"2016-11-06"
"Beautiful: The Carole King Musical",852256.2,-19583.6,113.11,7535,8,91.8,-3.5,"2016-11-06"
"The Book of Mormon",1292274,30884,148.61,8696,8,101.97,0.18,"2016-11-06"
"A Bronx Tale The Musical",324821,0,108.6,2991,0,95.5,0,"2016-11-06"
"Cats",717873.5,-97735.5,97.3,7378,8,67.07,-9.21,"2016-11-06"
"The Cherry Orchard",309722,-30044.5,72.6,4266,8,73.05,-0.25,"2016-11-06"
"Chicago",486776.44,-75049.71,81.26,5990,8,69.33,-8.44,"2016-11-06"
"Cirque du Soleil Paramour",884873.95,-120514.45,80.58,10981,8,72.4,-9.59,"2016-11-06"
"The Color Purple",528795.5,-85846.51,85.82,6162,8,73.29,-7.66,"2016-11-06"
"The Encounter",246546.5,-51358.99,66.44,3711,8,61.44,0.73,"2016-11-06"
"Falsettos",600205.7,107664.7,89,6744,8,90.45,0.64,"2016-11-06"
"Fiddler on the Roof",604998.97,1435.97,83.45,7250,8,53.09,-1.44,"2016-11-06"
"The Front Page",1282500,40208.45,134.04,9568,8,101.53,0.97,"2016-11-06"
"Hamilton",2227546.25,11905.25,207.56,10732,8,101.55,-0.21,"2016-11-06"
"Heisenberg",419733.8,-26553.2,86.76,4838,8,85.54,-7.52,"2016-11-06"
"Holiday Inn The New Irving Berlin Musical",445157.2,-442.7,80.28,5545,8,69.45,4.55,"2016-11-06"
"The Humans",559566,-24417,84.62,6613,8,79.87,0.87,"2016-11-06"
"Jersey Boys",784833.5,3622.5,99.99,7849,8,79.9,-5.88,"2016-11-06"
"Kinky Boots",735177,46411.5,92.88,7915,8,69.48,2.07,"2016-11-06"
"Kristin Chenoweth: My Love Letter to Broadway",851694,0,106.96,7963,6,88.24,0,"2016-11-06"
"Les Liaisons Dangereuses",657990.9,82439.5,120.87,5444,8,87.47,-3.48,"2016-11-06"
"The Lion King",1834961,-2652,139.27,13176,8,97.11,-1.25,"2016-11-06"
"Matilda The Musical",760551.4,67060.35,77.29,9840,8,85.89,4.97,"2016-11-06"
"Natasha Pierre & The Great Comet of 1812",1025105.66,-40045.74,118.67,8638,0,94.88,0.21,"2016-11-06"
"Oh Hello on Broadway",485191.3,-7523.94,84.35,5752,8,78.92,-6.25,"2016-11-06"
"On Your Feet!",714752.9,9209.3,94.53,7561,8,58.13,-0.5,"2016-11-06"
"The Phantom of the Opera",776358.11,-63273.53,88.39,8783,8,68.4,-6.52,"2016-11-06"
"School of Rock – The Musical",874606.5,47158.5,89.32,9792,8,81.87,2.99,"2016-11-06"
"Something Rotten!",548653,53839,78.42,6996,8,55.16,8.99,"2016-11-06"
"Waitress",819567.3,-6691.4,118.81,6898,8,82.51,-6.21,"2016-11-06"
"Wicked",1435835,-21139,114.89,12497,8,86.45,-4.74,"2016-11-06"
"Aladdin",1286000,-183578,97.96,13128,8,95.02,-2.28,"2016-10-30"
"Beautiful: The Carole King Musical",871839.8,-137442.1,111.46,7822,8,95.3,-4.76,"2016-10-30"
"The Book of Mormon",1261390,-107036,145.3,8681,8,101.79,-0.73,"2016-10-30"
"Cats",815609,-83700,97.2,8391,8,76.28,-5.35,"2016-10-30"
"The Cherry Orchard",339766.5,-32632.6,79.37,4281,8,73.3,-11.75,"2016-10-30"
"Chicago",561826.15,-59530.76,83.62,6719,8,77.77,-9.26,"2016-10-30"
"Cirque du Soleil Paramour",1005388.4,-55208.7,80.84,12437,8,81.99,-1.41,"2016-10-30"
"The Color Purple",614642.01,-55694.6,90.31,6806,8,80.95,-5.6,"2016-10-30"
"The Encounter",297905.49,-49425.93,81.24,3667,8,60.71,-5.05,"2016-10-30"
"Falsettos",492541,42452.7,73.56,6696,5,89.81,-1.73,"2016-10-30"
"Fiddler on the Roof",603563,-176503.63,81.06,7446,8,54.53,-13.16,"2016-10-30"
"Frankie Valli and the Four Seasons On Broadway",686888,106599,124.57,5514,4,91.66,-0.87,"2016-10-30"
"The Front Page",1242291.55,137401.55,131.2,9469,8,100.56,-0.81,"2016-10-30"
"Hamilton",2215641,222553,206.03,10754,8,101.76,0.2,"2016-10-30"
"Heisenberg",446287,16798.4,86.86,5138,8,93.06,-0.84,"2016-10-30"
"Holiday Inn The New Irving Berlin Musical",445599.9,-28161.4,85.99,5182,8,64.9,-5.4,"2016-10-30"
"The Humans",583983,-67914.18,89.28,6541,8,79,-3.56,"2016-10-30"
